,Y
478,0.2181822427
479,0.0
480,0.0324116156
481,0.0
482,0.050466520099999995
483,0.08650346699999999
484,0.0115405792
485,0.0
486,1.0
487,0.3400838108
488,1.0
489,0.0902877992
490,0.5353585403
491,0.0
492,0.0
493,0.00802964
494,0.0518770618
495,1.0
496,0.4288787905
497,0.0098094753
498,0.0433889157
499,0.0430253527
500,0.0
501,0.0201436873
502,0.0061025835
503,0.0
504,0.0
505,0.0
506,0.0236908411
507,0.22180252239999998
508,0.0
509,0.0
510,0.0
511,0.054461792099999996
512,0.0
513,0.0017569304
514,0.013140723500000001
515,0.0
516,0.0123094754
517,0.3336684047
518,0.0
519,0.0394260393
520,0.0
521,0.0
522,0.0014757045000000002
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0093867034
529,0.3192678609
530,0.0814163072
531,0.061744195599999996
532,0.006345829200000001
533,0.0354770224
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0120933507
539,0.0304366215
540,0.0445371797
541,0.0
542,0.017327318
543,0.0762563451
544,0.0
545,0.0
546,0.1352993033
547,0.0048221532
548,0.0
549,0.7695173842
550,0.019292346000000002
551,0.0
552,0.1621716784
553,0.0064819896
554,0.0
555,0.0
556,0.001323081
557,0.0
558,0.0290916575
559,0.0246549238
560,0.2925136404
561,1.0
562,0.0183742051
563,0.005445599399999999
564,0.0119880898
565,0.0735998223
566,0.9390346159
567,0.0
568,0.0
569,0.0151176837
570,0.0
571,0.8442044216
572,0.0
573,0.0
574,0.0
575,0.0072768443999999995
576,0.097896615
577,0.0
578,0.25141874420000004
579,0.0
580,0.0067658331
581,0.0465818687
582,0.1116603272
583,0.0
584,0.8820150644
585,0.1904677603
586,0.0444892622
587,0.0
588,0.0
589,0.0010749507
590,0.0
591,0.129482506
592,0.0180703712
593,0.0
594,0.0058672640000000005
595,0.0
596,0.0456710131
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0012651469
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0443633353
609,0.027249526200000002
610,0.0
611,0.0410048717
612,0.033383463700000005
613,0.0349970872
614,0.0
615,0.0
616,0.2740968626
617,1.0
618,0.0
619,0.0188195816
620,0.0
621,0.0425567801
622,0.2385395985
623,0.0
624,0.0
625,0.0
626,0.0
627,1.0
628,1.0
629,0.0
630,0.0
631,0.0116727333
632,0.0614543521
633,0.060303635599999995
634,0.0
635,0.0
636,0.0183171988
637,0.0
638,0.0
639,0.013457871100000001
640,0.0131894789
641,0.0
642,0.4113625078
643,0.0
644,0.0
645,0.0
646,0.8637434999
647,0.1125613258
648,0.010486015500000001
649,0.8160920289
650,0.2696352655
651,0.2306759005
652,0.0032520403999999996
653,0.0430891404
654,0.0
655,0.053639392800000005
656,0.016568041699999998
657,0.0105605273
658,0.0
659,0.0
660,0.0
661,0.6815512652
662,0.7567498673999999
663,0.008559324
664,0.0
665,0.0
666,0.0229100929
667,0.0
668,0.0
669,0.0
670,0.1226717063
671,1.0
672,0.0
673,0.0147876664
674,0.0
675,0.17089841949999998
676,0.0
677,0.0
678,0.0
679,0.7865461129000001
680,0.011904911200000002
681,0.0
682,0.3932666801
683,1.0
684,0.0275146175
685,0.0162711155
686,0.029304906699999998
687,0.0
688,0.9786709027
689,0.0
690,0.013309779499999999
691,0.0
692,0.0093079831
693,0.0
694,0.0
695,0.0169969889
696,0.6103771895000001
697,0.0
698,0.0
699,0.036634713199999995
700,0.0082660977
701,0.14565747029999998
702,0.0324470327
703,0.0
704,0.0
705,0.0
706,0.0
707,1.0
708,0.0115432093
709,0.10586462519999999
710,0.134571233
711,0.3241834027
712,0.006037652199999999
713,0.0
714,0.0053545015
715,0.0
716,0.0
717,0.0
718,0.0120976292
719,0.0
720,0.048975261900000004
721,0.046040893099999994
722,0.0
723,0.025318288900000003
724,0.0
725,0.0
726,0.0
727,0.3366204199
728,0.0
729,0.0
730,0.0
731,0.0093662918
732,0.0
733,0.6470009473
734,0.6137540508
735,0.0149008052
736,0.0122289693
737,0.0250458102
738,0.0
739,0.1188201938
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0015093022
747,0.5948468834
748,0.0304481821
749,0.0
750,0.0396459481
751,0.0823142806
752,0.6716256996
753,0.022176302599999996
754,0.0092757103
755,0.0019311522
756,0.0019501723000000001
757,0.0369953844
758,0.0021333242000000003
759,0.0
760,0.0087829884
761,0.5804312268
762,0.5524635048
763,0.0
764,0.0
765,0.0
766,0.1843614553
767,0.005321055
768,0.0888918491
769,0.0363448019
770,0.0
771,0.0
772,0.0
773,0.09151053210000001
774,0.13498831460000002
775,0.0
776,0.0011739808
777,0.0
778,0.0
779,0.0
780,0.0
