,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
444563,106339825813.0,09/01/2017,,3.99,238661.62,53.0,307.0,307.0,04/2043,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
639293,109078348742.0,09/01/2016,,4.125,117268.31,20.0,160.0,160.0,01/2030,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
75886,101126525077.0,09/01/2016,,3.625,245134.05,36.0,144.0,128.0,09/2028,10900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
204907,102951886284.0,09/01/2016,,5.125,145946.2,79.0,281.0,280.0,02/2040,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
507772,107237875595.0,12/01/2016,,4.0,348701.88,57.0,303.0,303.0,03/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
70855,101043723805.0,09/01/2016,,5.375,336066.94,63.0,297.0,292.0,06/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
545667,107784088822.0,06/01/2017,,4.75,174239.61,40.0,320.0,320.0,02/2044,14460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
328964,104728283963.0,03/01/2016,,4.5,111547.96,36.0,324.0,324.0,03/2043,46220,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
312220,104482209935.0,09/01/2016,,4.75,301414.84,50.0,310.0,310.0,07/2042,39820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
639824,109083910863.0,09/01/2016,,4.75,87107.36,71.0,289.0,289.0,10/2040,32820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
123409,101809786036.0,12/01/2017,,4.5,164618.05,52.0,308.0,308.0,08/2043,12540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
659369,109356156267.0,03/01/2017,,3.625,129194.28,45.0,315.0,314.0,06/2043,49340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
689293,109769857826.0,06/01/2017,,4.125,99051.55,38.0,142.0,138.0,04/2029,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
830699,111710482334.0,06/01/2017,,4.625,74702.81,64.0,296.0,296.0,02/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
89347,101326487165.0,03/01/2017,,4.5,338766.22,58.0,302.0,298.0,05/2042,44700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
964066,113624108862.0,06/01/2016,,4.25,293903.56,37.0,323.0,323.0,05/2043,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
